Bekasi;Cosmetic;15-Mar-24;APP PURINUSA EKAPERSADA, PT;PON24001663;5.000;5.000;PKT.067.113002000;Karton Garden of Naeem Body Wash 400mlx24pcs;5.000;18-Mar-24;jadwal lama, design 4B
Bekasi;Cosmetic;18-Mar-24;APP PURINUSA EKAPERSADA, PT;‭PON24001894‬;4.000;4.000;PKT.067.113002000;Karton Garden of Naeem Body Wash 400mlx24pcs;4.000;04-Apr-24;jadwal baru, design 4B
Bekasi;Cosmetic;18-Mar-24;APP PURINUSA EKAPERSADA, PT;‭PON24001903‬;5.000;5.000;PKT.067.113002000;Karton Garden of Naeem Body Wash 400mlx24pcs;5.000;19-Apr-24;jadwal baru, design 4B
;;;;;;;;;;;
Bekasi;Cosmetic;16-Feb-24;APP PURINUSA EKAPERSADA, PT;‭PON24001078‬;3.000;3.000;PKT.067.043044005;Karton Shinzu'I B.Lotion 100mlx48pcs(6V) New 4 NS;3.000;19-Mar-24;jadwal lama, design 4A
;;;;;;;;;;;
Bekasi;Cosmetic;16-Feb-24;APP PURINUSA EKAPERSADA, PT;‭PON24001082‬;3.000;3.000;PKT.067.043045004‬;Karton Shinzu'I B.Lotion 210mlx48pcs(6V) New 4;3.000;02-Apr-24;jadwal lama, design 4B
Bekasi;Cosmetic;18-Mar-24;APP PURINUSA EKAPERSADA, PT;‭PON24001880;3.000;3.000;PKT.067.043045004‬;Karton Shinzu'I B.Lotion 210mlx48pcs(6V) New 4;3.000;02-May-24;jadwal baru, design 4B
;;;;;;;;;;;
Bekasi;Cosmetic;16-Feb-24;APP PURINUSA EKAPERSADA, PT;‭PON24001080‬;4.500;4.500;PKT.067.043088004;Karton Shinzu'I B.Scrub 200grx48pcs (6V) New 4;4.500;21-Mar-24;jadwal lama, design 4A
Bekasi;Cosmetic;16-Feb-24;APP PURINUSA EKAPERSADA, PT;‭PON24001082‬;4.500;4.500;PKT.067.043088004;Karton Shinzu'I B.Scrub 200grx48pcs (6V) New 4;4.500;04-Apr-24;jadwal lama, design 4B
